t,d,gdt
132,1,1700000
132,2,2010000
132,3,2320000
133,1,1700000
133,2,2010000
133,3,2320000
134,1,1700000
134,2,2010000
134,3,2320000
135,1,1700000
135,2,2010000
135,3,2320000
136,1,1700000
136,2,2010000
136,3,2320000
137,1,1700000
137,2,2010000
137,3,2320000
138,1,1700000
138,2,2010000
138,3,2320000
139,1,1700000
139,2,2010000
139,3,2320000
140,1,1700000
140,2,2010000
140,3,2320000
141,1,1700000
141,2,2010000
141,3,2320000
142,1,1700000
142,2,2010000
142,3,2320000
143,1,1700000
143,2,2010000
143,3,2320000
144,1,1700000
144,2,2010000
144,3,2320000
145,1,1700000
145,2,2010000
145,3,2320000
146,1,1700000
146,2,2010000
146,3,2320000
147,1,1700000
147,2,2010000
147,3,2320000
148,1,1700000
148,2,2010000
148,3,2320000
149,1,1700000
149,2,2010000
149,3,2320000
150,1,1700000
150,2,2010000
150,3,2320000
151,1,1700000
151,2,2010000
151,3,2320000
152,1,1700000
152,2,2010000
152,3,2320000
153,1,1700000
153,2,2010000
153,3,2320000
154,1,1700000
154,2,2010000
154,3,2320000
155,1,1700000
155,2,2010000
155,3,2320000
156,1,1700000
156,2,2010000
156,3,2320000
157,1,1700000
157,2,2010000
157,3,2320000
158,1,1700000
158,2,2010000
158,3,2320000
159,1,1700000
159,2,2010000
159,3,2320000
160,1,1700000
160,2,2010000
160,3,2320000
161,1,1700000
161,2,2010000
161,3,2320000
162,1,1700000
162,2,2010000
162,3,2320000
163,1,1700000
163,2,2010000
163,3,2320000
164,1,1700000
164,2,2010000
164,3,2320000
165,1,1700000
165,2,2010000
165,3,2320000
166,1,1700000
166,2,2010000
166,3,2320000
167,1,1700000
167,2,2010000
167,3,2320000
168,1,1700000
168,2,2010000
168,3,2320000
169,1,1700000
169,2,2010000
169,3,2320000
170,1,1700000
170,2,2010000
170,3,2320000
171,1,1700000
171,2,2010000
171,3,2320000
172,1,1700000
172,2,2010000
172,3,2320000
173,1,1700000
173,2,2010000
173,3,2320000
174,1,1700000
174,2,2010000
174,3,2320000
175,1,1700000
175,2,2010000
175,3,2320000
176,1,1700000
176,2,2010000
176,3,2320000
177,1,1700000
177,2,2010000
177,3,2320000
178,1,1700000
178,2,2010000
178,3,2320000
179,1,1700000
179,2,2010000
179,3,2320000
180,1,1700000
180,2,2010000
180,3,2320000
181,1,1700000
181,2,2010000
181,3,2320000
182,1,1700000
182,2,2010000
182,3,2320000
183,1,1700000
183,2,2010000
183,3,2320000
184,1,1700000
184,2,2010000
184,3,2320000
185,1,1700000
185,2,2010000
185,3,2320000
186,1,1700000
186,2,2010000
186,3,2320000
187,1,1700000
187,2,2010000
187,3,2320000
188,1,1700000
188,2,2010000
188,3,2320000
189,1,1700000
189,2,2010000
189,3,2320000
190,1,1700000
190,2,2010000
190,3,2320000
191,1,1700000
191,2,2010000
191,3,2320000
192,1,1700000
192,2,2010000
192,3,2320000
193,1,1700000
193,2,2010000
193,3,2320000
194,1,1700000
194,2,2010000
194,3,2320000
195,1,1700000
195,2,2010000
195,3,2320000
196,1,1700000
196,2,2010000
196,3,2320000
197,1,1700000
197,2,2010000
197,3,2320000
198,1,1700000
198,2,2010000
198,3,2320000
199,1,1700000
199,2,2010000
199,3,2320000
200,1,1700000
200,2,2010000
200,3,2320000
201,1,1700000
201,2,2010000
201,3,2320000
202,1,1700000
202,2,2010000
202,3,2320000
203,1,1700000
203,2,2010000
203,3,2320000
204,1,1700000
204,2,2010000
204,3,2320000
205,1,1700000
205,2,2010000
205,3,2320000
206,1,1700000
206,2,2010000
206,3,2320000
207,1,1700000
207,2,2010000
207,3,2320000
208,1,1700000
208,2,2010000
208,3,2320000
209,1,1700000
209,2,2010000
209,3,2320000
210,1,1700000
210,2,2010000
210,3,2320000
211,1,1700000
211,2,2010000
211,3,2320000
212,1,1700000
212,2,2010000
212,3,2320000
213,1,1700000
213,2,2010000
213,3,2320000
214,1,1700000
214,2,2010000
214,3,2320000
215,1,1700000
215,2,2010000
215,3,2320000
216,1,1700000
216,2,2010000
216,3,2320000
217,1,1700000
217,2,2010000
217,3,2320000
218,1,1700000
218,2,2010000
218,3,2320000
219,1,1700000
219,2,2010000
219,3,2320000
220,1,1700000
220,2,2010000
220,3,2320000
221,1,1700000
221,2,2010000
221,3,2320000
222,1,1700000
222,2,2010000
222,3,2320000
223,1,1700000
223,2,2010000
223,3,2320000
224,1,1700000
224,2,2010000
224,3,2320000
225,1,1700000
225,2,2010000
225,3,2320000
226,1,1700000
226,2,2010000
226,3,2320000
227,1,1700000
227,2,2010000
227,3,2320000
228,1,1700000
228,2,2010000
228,3,2320000
229,1,1700000
229,2,2010000
229,3,2320000
230,1,1700000
230,2,2010000
230,3,2320000
231,1,1700000
231,2,2010000
231,3,2320000
232,1,1700000
232,2,2010000
232,3,2320000
233,1,1700000
233,2,2010000
233,3,2320000
234,1,1700000
234,2,2010000
234,3,2320000
235,1,1700000
235,2,2010000
235,3,2320000
236,1,1700000
236,2,2010000
236,3,2320000
237,1,1700000
237,2,2010000
237,3,2320000
238,1,1700000
238,2,2010000
238,3,2320000
239,1,1700000
239,2,2010000
239,3,2320000
240,1,1700000
240,2,2010000
240,3,2320000
241,1,1700000
241,2,2010000
241,3,2320000
242,1,1700000
242,2,2010000
242,3,2320000
243,1,1700000
243,2,2010000
243,3,2320000
244,1,1700000
244,2,2010000
244,3,2320000
245,1,1700000
245,2,2010000
245,3,2320000
246,1,1700000
246,2,2010000
246,3,2320000
247,1,1700000
247,2,2010000
247,3,2320000
248,1,1700000
248,2,2010000
248,3,2320000
249,1,1700000
249,2,2010000
249,3,2320000
250,1,1700000
250,2,2010000
250,3,2320000
251,1,1700000
251,2,2010000
251,3,2320000
252,1,1700000
252,2,2010000
252,3,2320000
253,1,1700000
253,2,2010000
253,3,2320000
254,1,1700000
254,2,2010000
254,3,2320000
255,1,1700000
255,2,2010000
255,3,2320000
256,1,1700000
256,2,2010000
256,3,2320000
257,1,1700000
257,2,2010000
257,3,2320000
258,1,1700000
258,2,2010000
258,3,2320000
259,1,1700000
259,2,2010000
259,3,2320000
260,1,1700000
260,2,2010000
260,3,2320000
261,1,1700000
261,2,2010000
261,3,2320000
262,1,1700000
262,2,2010000
262,3,2320000
263,1,1700000
263,2,2010000
263,3,2320000
264,1,1700000
264,2,2010000
264,3,2320000
265,1,1700000
265,2,2010000
265,3,2320000
266,1,1700000
266,2,2010000
266,3,2320000
267,1,1700000
267,2,2010000
267,3,2320000
268,1,1700000
268,2,2010000
268,3,2320000
269,1,1700000
269,2,2010000
269,3,2320000
270,1,1700000
270,2,2010000
270,3,2320000
271,1,1700000
271,2,2010000
271,3,2320000
272,1,1700000
272,2,2010000
272,3,2320000
273,1,1700000
273,2,2010000
273,3,2320000
274,1,1700000
274,2,2010000
274,3,2320000
275,1,1700000
275,2,2010000
275,3,2320000
276,1,1700000
276,2,2010000
276,3,2320000
277,1,1700000
277,2,2010000
277,3,2320000
278,1,1700000
278,2,2010000
278,3,2320000
279,1,1700000
279,2,2010000
279,3,2320000
280,1,1700000
280,2,2010000
280,3,2320000
281,1,1700000
281,2,2010000
281,3,2320000
282,1,1700000
282,2,2010000
282,3,2320000
283,1,1700000
283,2,2010000
283,3,2320000
284,1,1700000
284,2,2010000
284,3,2320000
285,1,1700000
285,2,2010000
285,3,2320000
286,1,1700000
286,2,2010000
286,3,2320000
287,1,1700000
287,2,2010000
287,3,2320000
288,1,1700000
288,2,2010000
288,3,2320000
289,1,1700000
289,2,2010000
289,3,2320000
290,1,1700000
290,2,2010000
290,3,2320000
291,1,1700000
291,2,2010000
291,3,2320000
292,1,1700000
292,2,2010000
292,3,2320000
293,1,1700000
293,2,2010000
293,3,2320000
294,1,1700000
294,2,2010000
294,3,2320000
295,1,1700000
295,2,2010000
295,3,2320000
296,1,1700000
296,2,2010000
296,3,2320000
297,1,1700000
297,2,2010000
297,3,2320000
298,1,1700000
298,2,2010000
298,3,2320000
299,1,1700000
299,2,2010000
299,3,2320000
300,1,1700000
300,2,2010000
300,3,2320000
301,1,1700000
301,2,2010000
301,3,2320000
302,1,1700000
302,2,2010000
302,3,2320000
303,1,1700000
303,2,2010000
303,3,2320000
304,1,1700000
304,2,2010000
304,3,2320000
305,1,1700000
305,2,2010000
305,3,2320000
306,1,1700000
306,2,2010000
306,3,2320000
307,1,1700000
307,2,2010000
307,3,2320000
308,1,1700000
308,2,2010000
308,3,2320000
309,1,1700000
309,2,2010000
309,3,2320000
310,1,1700000
310,2,2010000
310,3,2320000
311,1,1700000
311,2,2010000
311,3,2320000
312,1,1700000
312,2,2010000
312,3,2320000
313,1,1700000
313,2,2010000
313,3,2320000
314,1,1700000
314,2,2010000
314,3,2320000
315,1,1700000
315,2,2010000
315,3,2320000
316,1,1700000
316,2,2010000
316,3,2320000
317,1,1700000
317,2,2010000
317,3,2320000
318,1,1700000
318,2,2010000
318,3,2320000
319,1,1700000
319,2,2010000
319,3,2320000
320,1,1700000
320,2,2010000
320,3,2320000
321,1,1700000
321,2,2010000
321,3,2320000
322,1,1700000
322,2,2010000
322,3,2320000
323,1,1700000
323,2,2010000
323,3,2320000
324,1,1700000
324,2,2010000
324,3,2320000
325,1,1700000
325,2,2010000
325,3,2320000
326,1,1700000
326,2,2010000
326,3,2320000
327,1,1700000
327,2,2010000
327,3,2320000
328,1,1700000
328,2,2010000
328,3,2320000
329,1,1700000
329,2,2010000
329,3,2320000
330,1,1700000
330,2,2010000
330,3,2320000
331,1,1700000
331,2,2010000
331,3,2320000
332,1,1700000
332,2,2010000
332,3,2320000
333,1,1700000
333,2,2010000
333,3,2320000
334,1,1700000
334,2,2010000
334,3,2320000
335,1,1700000
335,2,2010000
335,3,2320000
336,1,1700000
336,2,2010000
336,3,2320000
337,1,1700000
337,2,2010000
337,3,2320000
338,1,1700000
338,2,2010000
338,3,2320000
339,1,1700000
339,2,2010000
339,3,2320000
340,1,1700000
340,2,2010000
340,3,2320000
341,1,1700000
341,2,2010000
341,3,2320000
342,1,1700000
342,2,2010000
342,3,2320000
343,1,1700000
343,2,2010000
343,3,2320000
344,1,1700000
344,2,2010000
344,3,2320000
345,1,1700000
345,2,2010000
345,3,2320000
346,1,1700000
346,2,2010000
346,3,2320000
347,1,1700000
347,2,2010000
347,3,2320000
348,1,1700000
348,2,2010000
348,3,2320000
349,1,1700000
349,2,2010000
349,3,2320000
350,1,1700000
350,2,2010000
350,3,2320000
351,1,1700000
351,2,2010000
351,3,2320000
352,1,1700000
352,2,2010000
352,3,2320000
353,1,1700000
353,2,2010000
353,3,2320000
354,1,1700000
354,2,2010000
354,3,2320000
355,1,1700000
355,2,2010000
355,3,2320000
356,1,1700000
356,2,2010000
356,3,2320000
357,1,1700000
357,2,2010000
357,3,2320000
358,1,1700000
358,2,2010000
358,3,2320000
359,1,1700000
359,2,2010000
359,3,2320000
360,1,1700000
360,2,2010000
360,3,2320000
361,1,1700000
361,2,2010000
361,3,2320000
362,1,1700000
362,2,2010000
362,3,2320000
363,1,1700000
363,2,2010000
363,3,2320000
364,1,1700000
364,2,2010000
364,3,2320000
365,1,1700000
365,2,2010000
365,3,2320000
,,
,,
,,
